[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1616192857.810000 3/19/2021, 11:27:37 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, 
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 0
INFO, COMMENT, 
INFO, SEQUENCE FILE: H5T_Lin_NoO.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1616192857.810,,0.000000e+000,3.000099e+001,-1.661691e-008,2.528882e-009,0.000000e+000,0.000000e+000,2,0.000000e+000,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616193073.687,,2.000000e+002,3.000084e+001,-4.528221e-007,4.436032e-009,0.000000e+000,0.000000e+000,2,8.644943e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616193266.433,,4.000000e+002,3.000113e+001,-8.427027e-007,6.852671e-009,0.000000e+000,0.000000e+000,2,8.712934e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616193454.435,,6.000000e+002,3.000157e+001,-1.342036e-006,1.054433e-008,0.000000e+000,0.000000e+000,2,8.784742e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.440048e-003,0,,0,
1616193641.527,,8.000000e+002,3.000027e+001,-1.908180e-006,1.018619e-008,0.000000e+000,0.000000e+000,2,8.833496e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.350662e-003,0,,0,
1616193828.727,,1.000000e+003,3.000056e+001,-2.543031e-006,5.450733e-009,0.000000e+000,0.000000e+000,2,8.901863e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.339218e-003,0,,0,
1616194048.411,,1.500000e+003,3.000142e+001,-4.302949e-006,5.091394e-009,0.000000e+000,0.000000e+000,2,8.964555e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616194252.157,,2.000000e+003,3.000128e+001,-6.166341e-006,1.672819e-008,0.000000e+000,0.000000e+000,2,8.986310e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616194447.960,,2.500000e+003,3.000027e+001,-8.119215e-006,4.201932e-008,0.000000e+000,0.000000e+000,2,9.006582e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.449585e-003,0,,0,
1616194645.157,,3.000000e+003,3.000084e+001,-1.007711e-005,4.011293e-008,0.000000e+000,0.000000e+000,2,9.044167e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616194840.822,,3.500000e+003,3.000099e+001,-1.212764e-005,6.977864e-008,0.000000e+000,0.000000e+000,2,9.043110e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616195032.177,,4.000000e+003,3.000099e+001,-1.391988e-005,4.301333e-008,0.000000e+000,0.000000e+000,2,9.017804e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616195223.855,,5.000000e+003,3.000099e+001,-1.800262e-005,6.688219e-008,0.000000e+000,0.000000e+000,2,9.022919e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,0.000000e+000,0,,0,
1616195423.039,,6.000000e+003,3.000084e+001,-2.212155e-005,1.652953e-008,0.000000e+000,0.000000e+000,2,9.048802e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616195622.555,,7.000000e+003,3.000099e+001,-2.621847e-005,4.594349e-008,0.000000e+000,0.000000e+000,2,9.064867e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616195811.349,,8.000000e+003,3.000099e+001,-3.031009e-005,5.837493e-008,0.000000e+000,0.000000e+000,2,9.068862e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616195991.744,,9.000000e+003,3.000041e+001,-3.444115e-005,4.042073e-008,0.000000e+000,0.000000e+000,2,9.068877e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616196179.360,,1.000000e+004,3.000070e+001,-3.864312e-005,3.080346e-008,0.000000e+000,0.000000e+000,2,9.074184e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616196388.893,,1.200000e+004,3.000128e+001,-4.702481e-005,6.317158e-008,0.000000e+000,0.000000e+000,2,9.079858e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616196581.910,,1.400000e+004,2.999997e+001,-5.529018e-005,5.284915e-008,0.000000e+000,0.000000e+000,2,9.084657e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,5.790710e-003,0,,0,
1616196774.289,,1.600000e+004,3.000186e+001,-6.374592e-005,6.616570e-008,0.000000e+000,0.000000e+000,2,9.096158e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616196967.500,,1.800000e+004,3.000084e+001,-7.207687e-005,1.100663e-007,0.000000e+000,0.000000e+000,2,9.087402e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616197189.220,,2.000000e+004,3.000128e+001,-8.046122e-005,7.261856e-008,0.000000e+000,0.000000e+000,2,9.092453e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.339218e-003,0,,0,
1616197396.501,,2.500000e+004,3.000026e+001,-1.014309e-004,2.039052e-007,0.000000e+000,0.000000e+000,2,9.095820e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.339218e-003,0,,0,
1616197605.619,,3.000000e+004,3.000113e+001,-1.224551e-004,1.110845e-007,0.000000e+000,0.000000e+000,2,9.097044e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616197815.381,,3.500000e+004,3.000128e+001,-1.435055e-004,8.888260e-008,0.000000e+000,0.000000e+000,2,9.100158e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616198025.939,,4.000000e+004,3.000099e+001,-1.644404e-004,1.219785e-007,0.000000e+000,0.000000e+000,2,9.102015e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616198231.450,,4.500000e+004,3.000171e+001,-1.855983e-004,1.966978e-007,0.000000e+000,0.000000e+000,2,9.100209e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616198444.644,,5.000000e+004,3.000200e+001,-2.079821e-004,8.483048e-007,0.000000e+000,0.000000e+000,2,9.115325e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.440048e-003,0,,0,
1616198669.509,,4.500000e+004,3.000041e+001,-1.874404e-004,2.055800e-007,0.000000e+000,0.000000e+000,2,9.114262e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.339218e-003,0,,0,
1616198878.939,,4.000000e+004,3.000157e+001,-1.664250e-004,2.125196e-007,0.000000e+000,0.000000e+000,2,9.108333e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.440048e-003,0,,0,
1616199088.809,,3.500000e+004,3.000171e+001,-1.452490e-004,2.355566e-007,0.000000e+000,0.000000e+000,2,9.107659e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,1.440048e-003,0,,0,
1616199297.716,,3.000000e+004,3.000185e+001,-1.243058e-004,1.891577e-007,0.000000e+000,0.000000e+000,2,9.103968e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,4.339218e-003,0,,0,
1616199505.388,,2.500000e+004,3.000099e+001,-1.032486e-004,1.010810e-007,0.000000e+000,0.000000e+000,2,9.101921e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,0.000000e+000,0,,0,
1616199710.870,,2.000000e+004,3.000142e+001,-8.385764e-005,3.464326e-006,0.000000e+000,0.000000e+000,2,8.957700e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616199896.286,,1.800000e+004,3.000041e+001,-7.397901e-005,9.723988e-008,0.000000e+000,0.000000e+000,2,9.108943e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616200095.599,,1.600000e+004,3.000084e+001,-6.558053e-005,7.431340e-008,0.000000e+000,0.000000e+000,2,9.098203e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,2.889633e-003,0,,0,
1616200288.959,,1.400000e+004,3.000099e+001,-5.721348e-005,4.484204e-008,0.000000e+000,0.000000e+000,2,9.101380e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,3.000000e+000,1.000000e+000,10,5,0.000000e+000,0,,0,
